pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"YO1 0AA","YO1  0AA","YO1 0AA","200504","200506","","","","","","1","","","9","","","E92000001",""," ","","","","","","","","","","","",""," ","","","","","","","","","",99.999999,0.000000,"","","",0,"","","","",""
"YO1 0AB","YO1  0AB","YO1 0AB","200504","200506","","","","","","1","","","9","","","E92000001",""," ","","","","","","","","","","","",""," ","","","","","","","","","",99.999999,0.000000,"","","",0,"","","","",""
"YO1 0AD","YO1  0AD","YO1 0AD","200504","200506","","","","","","1","","","9","","","E92000001",""," ","","","","","","","","","","","",""," ","","","","","","","","","",99.999999,0.000000,"","","",0,"","","","",""
"YO1 0AE","YO1  0AE","YO1 0AE","200504","200605","E99999999","E99999999","E06000014","E05010325","E43000013","1","459652","0451975","1","E18000003","E40000012","E92000001","E12000003","2","E14001604","E15000003","E24000044","E30000294","E16000099","E06000014","00FFNY","E00067741","00FFNY","E65000001","E01013415","E02002784","5","2B2","E00170154","E01033068","E02002784","E33010499","E38000188","E63007706","C1","2C3",53.960430,-1.092336,"E37000058","","E23000009",20442,"E56000026","E54000051","E00170154","E01033068","E02002784"
"YO1 0AF","YO1  0AF","YO1 0AF","200505","200506","","","","","","1","","","9","","","E92000001",""," ","","","","","","","","","","","",""," ","","","","","","","","","",99.999999,0.000000,"","","",0,"","","","",""
"YO1 0AG","YO1  0AG","YO1 0AG","200505","200602","E99999999","E99999999","E06000014","E05010325","E43000013","1","459652","0451975","1","E18000003","E40000012","E92000001","E12000003","2","E14001604","E15000003","E24000044","E30000294","E16000099","E06000014","00FFNY","E00067741","00FFNY","E65000001","E01013415","E02002784","5","2B2","E00170154","E01033068","E02002784","E33010499","E38000188","E63007706","C1","2C3",53.960430,-1.092336,"E37000058","","E23000009",20442,"E56000026","E54000051","E00170154","E01033068","E02002784"
"YO1 0AH","YO1  0AH","YO1 0AH","200507","200708","E99999999","E99999999","E06000014","E05010325","E43000013","1","459652","0451975","1","E18000003","E40000012","E92000001","E12000003","2","E14001604","E15000003","E24000044","E30000294","E16000099","E06000014","00FFNY","E00067741","00FFNY","E65000001","E01013415","E02002784","5","2B2","E00170154","E01033068","E02002784","E33010499","E38000188","E63007706","C1","2C3",53.960430,-1.092336,"E37000058","","E23000009",20442,"E56000026","E54000051","E00170154","E01033068","E02002784"
"YO1 0AJ","YO1  0AJ","YO1 0AJ","200709","201108","E99999999","E99999999","E06000014","E05010325","E43000013","1","459652","0451975","1","E18000003","E40000012","E92000001","E12000003","2","E14001604","E15000003","E24000044","E30000294","E16000099","E06000014","00FFNY","E00067741","00FFNY","E65000001","E01013415","E02002784","5","2B2","E00170154","E01033068","E02002784","E33010499","E38000188","E63007706","C1","2C3",53.960430,-1.092336,"E37000058","","E23000009",20442,"E56000026","E54000051","E00170154","E01033068","E02002784"
"YO1 0AL","YO1  0AL","YO1 0AL","200508","200603","E99999999","E99999999","E06000014","E05010325","E43000013","1","459652","0451975","1","E18000003","E40000012","E92000001","E12000003","2","E14001604","E15000003","E24000044","E30000294","E16000099","E06000014","00FFNY","E00067741","00FFNY","E65000001","E01013415","E02002784","5","2B2","E00170154","E01033068","E02002784","E33010499","E38000188","E63007706","C1","2C3",53.960430,-1.092336,"E37000058","","E23000009",20442,"E56000026","E54000051","E00170154","E01033068","E02002784"
"YO1 0AN","YO1  0AN","YO1 0AN","200511","200912","E99999999","E99999999","E06000014","E05010325","E43000013","1","459652","0451975","1","E18000003","E40000012","E92000001","E12000003","2","E14001604","E15000003","E24000044","E30000294","E16000099","E06000014","00FFNY","E00067741","00FFNY","E65000001","E01013415","E02002784","5","2B2","E00170154","E01033068","E02002784","E33010499","E38000188","E63007706","C1","2C3",53.960430,-1.092336,"E37000058","","E23000009",20442,"E56000026","E54000051","E00170154","E01033068","E02002784"
