WDCAS03CD,WDCAS03NM
00AAFA,Aldersgate
00AAFE,Bishopsgate
00AAFQ,Cripplegate
00AAFS,Farringdon Within
00AAFT,Farringdon Without
00AAFX,Portsoken
00AAFY,Queenhithe
00AAFZ,Tower
00AAGB,Walbrook
00ABFX,Abbey
00ABFY,Alibon
00ABFZ,Becontree
00ABGA,Chadwell Heath
00ABGB,Eastbrook
00ABGC,Eastbury
00ABGD,Gascoigne
00ABGE,Goresbrook
00ABGF,Heath
00ABGG,Longbridge
00ABGH,Mayesbrook
00ABGJ,Parsloes
00ABGK,River
00ABGL,Thames
00ABGM,Valence
00ABGN,Village
00ABGP,Whalebone
00ACFX,Brunswick Park
00ACFY,Burnt Oak
00ACFZ,Childs Hill
00ACGA,Colindale
00ACGB,Coppetts
00ACGC,East Barnet
00ACGD,East Finchley
00ACGE,Edgware
00ACGF,Finchley Church End
00ACGG,Garden Suburb
00ACGH,Golders Green
00ACGJ,Hale
00ACGK,Hendon
00ACGL,High Barnet
00ACGM,Mill Hill
00ACGN,Oakleigh
00ACGP,Totteridge
00ACGQ,Underhill
00ACGR,West Finchley
00ACGS,West Hendon
00ACGT,Woodhouse
00ADGA,Barnehurst
00ADGB,Belvedere
00ADGC,Blackfen and Lamorbey
00ADGD,Blendon and Penhill
00ADGE,Brampton
00ADGF,Christchurch
00ADGG,Colyers
00ADGH,Crayford
00ADGJ,Cray Meadows
00ADGK,Danson Park
00ADGL,East Wickham
00ADGM,Erith
00ADGN,Falconwood and Welling
00ADGP,Lesnes Abbey
00ADGQ,Longlands
00ADGR,North End
00ADGS,Northumberland Heath
00ADGT,St Mary's
00ADGU,St Michael's
00ADGW,Sidcup
00ADGX,Thamesmead East
00AEGJ,Alperton
00AEGK,Barnhill
00AEGL,Brondesbury Park
00AEGM,Dollis Hill
00AEGN,Dudden Hill
00AEGP,Fryent
00AEGQ,Harlesden
00AEGR,Kensal Green
00AEGS,Kenton
00AEGT,Kilburn
00AEGU,Mapesbury
00AEGW,Northwick Park
00AEGX,Preston
00AEGY,Queens Park
00AEGZ,Queensbury
00AEHA,Stonebridge
00AEHB,Sudbury
00AEHC,Tokyngton
00AEHD,Welsh Harp
00AEHE,Wembley Central
00AEHF,Willesden Green
00AFGD,Bickley
00AFGE,Biggin Hill
00AFGF,Bromley Common and Keston
00AFGG,Bromley Town
00AFGH,Chelsfield and Pratts Bottom
00AFGJ,Chislehurst
00AFGK,Clock House
00AFGL,Copers Cope
00AFGM,Cray Valley East
00AFGN,Cray Valley West
00AFGP,Crystal Palace
00AFGQ,Darwin
00AFGR,Farnborough and Crofton
00AFGS,Hayes and Coney Hall
00AFGT,Kelsey and Eden Park
00AFGU,Mottingham and Chislehurst North
00AFGW,Orpington
00AFGX,Penge and Cator
00AFGY,Petts Wood and Knoll
00AFGZ,Plaistow and Sundridge
00AFHA,Shortlands
00AFHB,West Wickham
00AGGD,Belsize
00AGGE,Bloomsbury
00AGGF,Camden Town with Primrose Hill
00AGGG,Cantelowes
00AGGH,Fortune Green
00AGGJ,Frognal and Fitzjohns
00AGGK,Gospel Oak
00AGGL,Hampstead Town
00AGGM,Haverstock
00AGGN,Highgate
00AGGP,Holborn and Covent Garden
00AGGQ,Kentish Town
00AGGR,Kilburn
00AGGS,King's Cross
00AGGT,Regent's Park
00AGGU,St Pancras and Somers Town
00AGGW,Swiss Cottage
00AGGX,West Hampstead
00AHGE,Addiscombe
00AHGF,Ashburton
00AHGG,Bensham Manor
00AHGH,Broad Green
