OA22CD,DZ22CD,DZ22NM,IZ22CD,IZ22NM,LAD24CD,LAD24NM
S00145775,S01015084,Tullibody South - 01,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145819,S01015084,Tullibody South - 01,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145811,S01015084,Tullibody South - 01,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145822,S01015084,Tullibody South - 01,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145816,S01015084,Tullibody South - 01,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145815,S01015084,Tullibody South - 01,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145790,S01015085,Tullibody South - 02,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145782,S01015085,Tullibody South - 02,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145787,S01015085,Tullibody South - 02,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145793,S01015085,Tullibody South - 02,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145809,S01015085,Tullibody South - 02,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145791,S01015085,Tullibody South - 02,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145789,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145803,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145786,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145792,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145779,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145795,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145783,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145784,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145807,S01015086,Tullibody South - 03,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145796,S01015087,Tullibody South - 04,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145799,S01015087,Tullibody South - 04,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145806,S01015087,Tullibody South - 04,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145810,S01015087,Tullibody South - 04,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145855,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145867,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145781,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145880,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145832,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145834,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145830,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145836,S01015088,Tullibody South - 05,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145805,S01015089,Tullibody South - 06,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145804,S01015089,Tullibody South - 06,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145823,S01015089,Tullibody South - 06,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145820,S01015089,Tullibody South - 06,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145818,S01015089,Tullibody South - 06,S02002795,Tullibody South,S12000005,Clackmannanshire
S00145773,S01015090,Tullibody North and Glenochil - 01,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145797,S01015090,Tullibody North and Glenochil - 01,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145798,S01015090,Tullibody North and Glenochil - 01,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145794,S01015090,Tullibody North and Glenochil - 01,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145808,S01015090,Tullibody North and Glenochil - 01,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145788,S01015090,Tullibody North and Glenochil - 01,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145778,S01015090,Tullibody North and Glenochil - 01,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145785,S01015091,Tullibody North and Glenochil - 02,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145780,S01015091,Tullibody North and Glenochil - 02,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145777,S01015091,Tullibody North and Glenochil - 02,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145776,S01015091,Tullibody North and Glenochil - 02,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145751,S01015092,Tullibody North and Glenochil - 03,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145754,S01015092,Tullibody North and Glenochil - 03,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145758,S01015092,Tullibody North and Glenochil - 03,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145759,S01015092,Tullibody North and Glenochil - 03,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145752,S01015092,Tullibody North and Glenochil - 03,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145757,S01015092,Tullibody North and Glenochil - 03,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145753,S01015092,Tullibody North and Glenochil - 03,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145769,S01015093,Tullibody North and Glenochil - 04,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145762,S01015093,Tullibody North and Glenochil - 04,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145755,S01015093,Tullibody North and Glenochil - 04,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145772,S01015093,Tullibody North and Glenochil - 04,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145770,S01015093,Tullibody North and Glenochil - 04,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145771,S01015094,Tullibody North and Glenochil - 05,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145767,S01015094,Tullibody North and Glenochil - 05,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145768,S01015094,Tullibody North and Glenochil - 05,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145764,S01015094,Tullibody North and Glenochil - 05,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145756,S01015094,Tullibody North and Glenochil - 05,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145766,S01015094,Tullibody North and Glenochil - 05,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145739,S01015095,Tullibody North and Glenochil - 06,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145750,S01015095,Tullibody North and Glenochil - 06,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145749,S01015095,Tullibody North and Glenochil - 06,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145586,S01015095,Tullibody North and Glenochil - 06,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145740,S01015095,Tullibody North and Glenochil - 06,S02002796,Tullibody North and Glenochil,S12000005,Clackmannanshire
S00145699,S01015096,Menstrie - 01,S02002797,Menstrie,S12000005,Clackmannanshire
S00145710,S01015096,Menstrie - 01,S02002797,Menstrie,S12000005,Clackmannanshire
S00145721,S01015096,Menstrie - 01,S02002797,Menstrie,S12000005,Clackmannanshire
S00145728,S01015096,Menstrie - 01,S02002797,Menstrie,S12000005,Clackmannanshire
S00145732,S01015096,Menstrie - 01,S02002797,Menstrie,S12000005,Clackmannanshire
S00145727,S01015096,Menstrie - 01,S02002797,Menstrie,S12000005,Clackmannanshire
S00145696,S01015097,Menstrie - 02,S02002797,Menstrie,S12000005,Clackmannanshire
S00145666,S01015097,Menstrie - 02,S02002797,Menstrie,S12000005,Clackmannanshire
S00145668,S01015097,Menstrie - 02,S02002797,Menstrie,S12000005,Clackmannanshire
S00145716,S01015097,Menstrie - 02,S02002797,Menstrie,S12000005,Clackmannanshire
S00145703,S01015097,Menstrie - 02,S02002797,Menstrie,S12000005,Clackmannanshire
S00145718,S01015098,Menstrie - 03,S02002797,Menstrie,S12000005,Clackmannanshire
S00145695,S01015098,Menstrie - 03,S02002797,Menstrie,S12000005,Clackmannanshire
S00145714,S01015098,Menstrie - 03,S02002797,Menstrie,S12000005,Clackmannanshire
S00145683,S01015098,Menstrie - 03,S02002797,Menstrie,S12000005,Clackmannanshire
S00145726,S01015098,Menstrie - 03,S02002797,Menstrie,S12000005,Clackmannanshire
S00145731,S01015098,Menstrie - 03,S02002797,Menstrie,S12000005,Clackmannanshire
S00145694,S01015099,Menstrie - 04,S02002797,Menstrie,S12000005,Clackmannanshire
S00145693,S01015099,Menstrie - 04,S02002797,Menstrie,S12000005,Clackmannanshire
S00145649,S01015099,Menstrie - 04,S02002797,Menstrie,S12000005,Clackmannanshire
S00145730,S01015099,Menstrie - 04,S02002797,Menstrie,S12000005,Clackmannanshire
S00145729,S01015099,Menstrie - 04,S02002797,Menstrie,S12000005,Clackmannanshire
S00145724,S01015099,Menstrie - 04,S02002797,Menstrie,S12000005,Clackmannanshire
S00145720,S01015099,Menstrie - 04,S02002797,Menstrie,S12000005,Clackmannanshire
S00145677,S01015100,Alva - 01,S02002798,Alva,S12000005,Clackmannanshire
S00145700,S01015100,Alva - 01,S02002798,Alva,S12000005,Clackmannanshire
S00145638,S01015100,Alva - 01,S02002798,Alva,S12000005,Clackmannanshire
S00145632,S01015100,Alva - 01,S02002798,Alva,S12000005,Clackmannanshire
S00145655,S01015100,Alva - 01,S02002798,Alva,S12000005,Clackmannanshire
S00145629,S01015100,Alva - 01,S02002798,Alva,S12000005,Clackmannanshire
S00145637,S01015100,Alva - 01,S02002798,Alva,S12000005,Clackmannanshire
S00145675,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145697,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145643,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145657,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145631,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145633,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145642,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145648,S01015101,Alva - 02,S02002798,Alva,S12000005,Clackmannanshire
S00145676,S01015102,Alva - 03,S02002798,Alva,S12000005,Clackmannanshire
S00145698,S01015102,Alva - 03,S02002798,Alva,S12000005,Clackmannanshire
S00145687,S01015102,Alva - 03,S02002798,Alva,S12000005,Clackmannanshire
S00145688,S01015102,Alva - 03,S02002798,Alva,S12000005,Clackmannanshire
S00145717,S01015102,Alva - 03,S02002798,Alva,S12000005,Clackmannanshire
S00145713,S01015102,Alva - 03,S02002798,Alva,S12000005,Clackmannanshire
S00145672,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145685,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145709,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145722,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145701,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145708,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145682,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145680,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145670,S01015103,Alva - 04,S02002798,Alva,S12000005,Clackmannanshire
S00145715,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145684,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145690,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145681,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145707,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145702,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145671,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145686,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145704,S01015104,Alva - 05,S02002798,Alva,S12000005,Clackmannanshire
S00145635,S01015105,Alva - 06,S02002798,Alva,S12000005,Clackmannanshire
S00145651,S01015105,Alva - 06,S02002798,Alva,S12000005,Clackmannanshire
S00145622,S01015105,Alva - 06,S02002798,Alva,S12000005,Clackmannanshire
S00145621,S01015105,Alva - 06,S02002798,Alva,S12000005,Clackmannanshire
S00145661,S01015106,Alva - 07,S02002798,Alva,S12000005,Clackmannanshire
S00145662,S01015106,Alva - 07,S02002798,Alva,S12000005,Clackmannanshire
S00145653,S01015106,Alva - 07,S02002798,Alva,S12000005,Clackmannanshire
S00145641,S01015106,Alva - 07,S02002798,Alva,S12000005,Clackmannanshire
S00145665,S01015106,Alva - 07,S02002798,Alva,S12000005,Clackmannanshire
S00145723,S01015107,"Fishcross, Devon Village and Coalsnaughton - 01",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145725,S01015107,"Fishcross, Devon Village and Coalsnaughton - 01",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145824,S01015107,"Fishcross, Devon Village and Coalsnaughton - 01",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145800,S01015107,"Fishcross, Devon Village and Coalsnaughton - 01",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145761,S01015107,"Fishcross, Devon Village and Coalsnaughton - 01",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145763,S01015107,"Fishcross, Devon Village and Coalsnaughton - 01",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145765,S01015107,"Fishcross, Devon Village and Coalsnaughton - 01",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145735,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145736,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145746,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145743,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145745,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145744,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145748,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145614,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145585,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
