SDZ21CD,SDZ21NM
N21000001,Dunsilly_A
N21000002,Dunsilly_B
N21000003,Dunsilly_C
N21000004,Dunsilly_D
N21000005,Dunsilly_E
N21000006,Dunsilly_F
N21000007,Antrim_A
N21000008,Antrim_B
N21000009,Antrim_C
N21000010,Antrim_D
N21000011,Antrim_E
N21000012,Antrim_F
N21000013,Antrim_G
N21000014,Antrim_H
N21000015,Antrim_J
N21000016,Antrim_K
N21000017,Antrim_L
N21000018,Antrim_N
N21000019,Ballyclare_A
N21000020,Ballyclare_B
N21000021,Ballyclare_C
N21000022,Ballyclare_D
N21000023,Ballyclare_E
N21000024,Ballyclare_F
N21000025,Ballyclare_G
N21000026,Ballyclare_H
N21000027,Three_Mile_Water_A
N21000028,Three_Mile_Water_B
N21000029,Three_Mile_Water_C
N21000030,Three_Mile_Water_D
N21000031,Three_Mile_Water_E
N21000032,Three_Mile_Water_F
N21000033,Three_Mile_Water_G
N21000034,Three_Mile_Water_H
N21000035,Three_Mile_Water_J
N21000036,Three_Mile_Water_K
N21000037,Macedon_A
N21000038,Macedon_B
N21000039,Macedon_C
N21000040,Macedon_D
N21000041,Macedon_E
N21000042,Macedon_F
N21000043,Macedon_G
N21000044,Macedon_H
N21000045,Macedon_J
N21000046,Macedon_K
N21000047,Macedon_L
N21000048,Glengormley_Urban_A
N21000049,Glengormley_Urban_B
N21000050,Glengormley_Urban_C
N21000051,Glengormley_Urban_D
N21000052,Glengormley_Urban_E
N21000053,Glengormley_Urban_F
N21000054,Glengormley_Urban_G
N21000055,Glengormley_Urban_H
N21000056,Glengormley_Urban_J
N21000057,Glengormley_Urban_K
N21000058,Glengormley_Urban_L
N21000059,Airport_A
N21000060,Airport_B
N21000061,Airport_C
N21000062,Airport_D
N21000063,Airport_E
N21000064,Airport_F
N21000065,Airport_G
N21000066,Airport_H
N21000067,Airport_J
N21000068,Armagh_A
N21000069,Armagh_B
N21000070,Armagh_C
N21000071,Armagh_D
N21000072,Armagh_E
N21000073,Armagh_F
N21000074,Armagh_G
N21000075,Armagh_H
N21000076,Armagh_J
N21000077,Armagh_K
N21000078,Armagh_L
N21000079,Portadown_A
N21000080,Portadown_B
N21000081,Portadown_C
N21000082,Portadown_D
N21000083,Portadown_E
N21000084,Portadown_F
N21000085,Portadown_G
N21000086,Portadown_H
N21000087,Portadown_J
N21000088,Portadown_K
N21000089,Portadown_L
N21000090,Portadown_N
N21000091,Portadown_P
N21000092,Portadown_Q
N21000093,Portadown_R
N21000094,Craigavon_A
N21000095,Craigavon_B
N21000096,Craigavon_C
N21000097,Craigavon_D
N21000098,Craigavon_E
N21000099,Craigavon_F
N21000100,Craigavon_G
N21000101,Craigavon_H
N21000102,Craigavon_J
N21000103,Craigavon_K
N21000104,Craigavon_L
N21000105,Craigavon_N
N21000106,Craigavon_P
N21000107,Lurgan_A
N21000108,Lurgan_B
N21000109,Lurgan_C
N21000110,Lurgan_D
N21000111,Lurgan_E
N21000112,Lurgan_F
N21000113,Lurgan_G
N21000114,Lurgan_H
N21000115,Lurgan_J
N21000116,Lurgan_K
N21000117,Lurgan_L
N21000118,Lurgan_N
