id,uni,course,minTariff,maxTariff,postcode,minALevel,maxALevel
1,University of Aberdeen,Accountancy ,112,112,AB24 3FX,"['B', 'B', 'C']","['B', 'B', 'C']"
2,Abertay University,Accounting and Finance ,96,96,DD1 1HG,"['C', 'C', 'C']","['C', 'C', 'C']"
3,Aberystwyth University,Accounting and Finance ,120,96,SY23 3FL,"['B', 'B', 'B']","['C', 'C', 'C']"
4,Academy of Live Technology,Live Events Production ,64,64,WF9 3NR,"['C', 'C']","['A', 'E']"
5,,,0,0,,"['C', 'C']","['A', 'E']"
6,Activate Learning,Animal Behaviour and Welfare ,0,0,OX1 1SA,"['C', 'C']","['A', 'E']"
7,Amity University [IN] London,Business Management ,0,0,WC1B 3HN,"['C', 'C']","['A', 'E']"
8,Anglia Ruskin University,Accounting and Finance ,0,0,CB1 1PT,"['C', 'C']","['A', 'E']"
9,Arts University Bournemouth,Acting ,120,104,BH12 5HH,"['B', 'B', 'B']","['B', 'C', 'C']"
10,Arts University Plymouth,Business & Management for Creatives ,0,0,PL4 8AT,"['B', 'B', 'B']","['B', 'C', 'C']"
11,ARU London,Business and Financial Management ,0,0,E14 2BE,"['B', 'B', 'B']","['B', 'C', 'C']"
12,University Centre Askham Bryan,Adventure Sport ,0,0,YO23 3FR,"['B', 'B', 'B']","['B', 'C', 'C']"
13,Associated Studios Performing Arts Academy,Musical Theatre (Professional Performance) 2-Year Accelerated Degree ,0,0,W10 6QY,"['B', 'B', 'B']","['B', 'C', 'C']"
14,"Aston University, Birmingham",Accounting and Finance ,120,112,B4 7ET,"['B', 'B', 'B']","['B', 'B', 'C']"
15,ASU London,Business and Management ,0,0,SE16 7LG,"['B', 'B', 'B']","['B', 'B', 'C']"
16,Bangor University,Accounting and Finance ,0,0,LL57 2DG,"['B', 'B', 'B']","['B', 'B', 'C']"
17,Barnet and Southgate College,BA Top Up Events Management ,0,0,EN5 4AZ,"['B', 'B', 'B']","['B', 'B', 'C']"
18,Barnsley College University Centre,Animal Management ,48,48,S70 2YW,"['E', 'E', 'E']","['E', 'E', 'E']"
19,Bath Spa University,Acting ,120,104,BA2 9BN,"['B', 'B', 'B']","['B', 'C', 'C']"
20,University of Bath,Accounting and Finance ,152,152,BA2 7AY,"['A*', 'A', 'A']","['A*', 'A*', 'B']"
21,Bedford College Group,Animal Management ,32,224,MK42 9AH,"['E', 'E']","['A*', 'A*', 'A*', 'A*']"
22,University of Bedfordshire,Accounting ,112,112,LU1 3JU,"['B', 'B', 'C']","['B', 'B', 'C']"
23,Belfast Metropolitan College,Accounting ,0,0,BT3 9DT,"['B', 'B', 'C']","['B', 'B', 'C']"
24,BIMM University,Acting for Screen ,96,96,BN3 1EL,"['A', 'A']","['A', 'A']"
25,"Birkbeck, University of London",Accounting ,0,0,WC1E 7HX,"['A', 'A']","['A', 'A']"
26,Birmingham City University,Accounting and Finance ,112,112,B4 7BD,"['B', 'B', 'C']","['B', 'B', 'C']"
27,BMet (Birmingham Metropolitan College),Art and Design (Graphic Design) ,32,32,B4 7PS,['C'],['C']
28,Birmingham Newman University,Accounting and Finance ,0,0,B32 3NT,['C'],['C']
29,University College Birmingham,Adult Nursing ,112,112,B3 1JB,"['B', 'B', 'C']","['B', 'B', 'C']"
30,University of Birmingham,Accounting and Finance ,144,144,B15 2TT,"['A', 'A', 'A']","['A', 'A', 'A']"
31,University Centre Bishop Burton,Agriculture ,0,0,HU17 8QG,"['A', 'A', 'A']","['A', 'A', 'A']"
32,Blackburn College,Accounting and Finance ,0,0,BB2 1LH,"['A', 'A', 'A']","['A', 'A', 'A']"
33,Blackpool and the Fylde College,Acting ,48,48,FY2 0HB,"['D', 'D']","['D', 'D']"
34,Bloomsbury Institute London,Accounting and Finance ,112,112,WC1B 3RA,"['B', 'B', 'C']","['B', 'B', 'C']"
35,Boomsatsuma,Filmmaking: Post Production ,96,96,BS2 8ST,"['C', 'C', 'C']","['C', 'C', 'C']"
36,Boston College,Business Management (Top Up) ,0,0,PE21 6JF,"['C', 'C', 'C']","['C', 'C', 'C']"
37,Bournemouth and Poole College,2D Digital Animation and Design Production ,0,0,BH14 0LS,"['C', 'C', 'C']","['C', 'C', 'C']"
38,Bournemouth University,Accounting ,0,0,BH12 5BB,"['C', 'C', 'C']","['C', 'C', 'C']"
39,BPP University,Applied Management ,0,0,W12 8AA,"['C', 'C', 'C']","['C', 'C', 'C']"
